"filename", "language", "YAML", "JSON", "Dart", "Markdown", "Shell Script", "HTML", "Swift", "C++", "XML", "Properties", "Groovy", "comment", "blank", "total"
"d:\WORK\code\flutter\vibe\flutter_vss\lib\feature\order\home\view\order_view.dart", "Dart", 0, 0, 50, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 57
"d:\WORK\code\flutter\vibe\flutter_vss\lib\feature\order\home\view\widget\mixin\order_view_mixin.dart", "Dart", 0, 0, 31, 0, 0, 0, 0, 0, 0, 0, 0, 1, 10, 42
"d:\WORK\code\flutter\vibe\flutter_vss\lib\feature\order\home\view\widget\order_appbar.dart", "Dart", 0, 0, 39, 0, 0, 0, 0, 0, 0, 0, 0, 1, 6, 46
"d:\WORK\code\flutter\vibe\flutter_vss\lib\feature\order\home\view\widget\order_listview_separated.dart", "Dart", 0, 0, 19, 0, 0, 0, 0, 0, 0, 0, 0, 1, 4, 24
"d:\WORK\code\flutter\vibe\flutter_vss\lib\feature\order\home\view_model\order_view_model.dart", "Dart", 0, 0, 61, 0, 0, 0, 0, 0, 0, 0, 0, 8, 11, 80
"d:\WORK\code\flutter\vibe\flutter_vss\lib\feature\order\home\view_model\state\order_base_state.dart", "Dart", 0, 0, 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 9
"d:\WORK\code\flutter\vibe\flutter_vss\lib\feature\order\home\view_model\state\order_state.dart", "Dart", 0, 0, 17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 21
"d:\WORK\code\flutter\vibe\flutter_vss\lib\feature\order\wayybill\view\mixin\wayybill_view_mixin.dart", "Dart", 0, 0, 31, 0, 0, 0, 0, 0, 0, 0, 0, 5, 9, 45
"d:\WORK\code\flutter\vibe\flutter_vss\lib\feature\order\wayybill\view\wayybill_view.dart", "Dart", 0, 0, 92, 0, 0, 0, 0, 0, 0, 0, 0, 1, 8, 101
"d:\WORK\code\flutter\vibe\flutter_vss\lib\feature\order\wayybill\view\widget\custom_text.dart", "Dart", 0, 0, 17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 19
"d:\WORK\code\flutter\vibe\flutter_vss\lib\feature\order\wayybill\view\widget\delivared_recipient.dart", "Dart", 0, 0, 26, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 30
"d:\WORK\code\flutter\vibe\flutter_vss\lib\feature\order\wayybill\view\widget\scans_column.dart", "Dart", 0, 0, 24, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 28
"d:\WORK\code\flutter\vibe\flutter_vss\lib\feature\order\wayybill\view\widget\waybill_floating_buttons.dart", "Dart", 0, 0, 40, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 43
"d:\WORK\code\flutter\vibe\flutter_vss\lib\feature\order\wayybill\view\widget\wayybill_appbar.dart", "Dart", 0, 0, 43, 0, 0, 0, 0, 0, 0, 0, 0, 1, 5, 49
"d:\WORK\code\flutter\vibe\flutter_vss\lib\feature\order\wayybill\view\widget\wayybill_loading.dart", "Dart", 0, 0, 19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 21
"d:\WORK\code\flutter\vibe\flutter_vss\lib\feature\order\wayybill\view_model\state\wayybill_base_state.dart", "Dart", 0, 0, 15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 20
"d:\WORK\code\flutter\vibe\flutter_vss\lib\feature\order\wayybill\view_model\state\wayybill_state.dart", "Dart", 0, 0, 25, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 29
"d:\WORK\code\flutter\vibe\flutter_vss\lib\feature\order\wayybill\view_model\wayybill_view_model.dart", "Dart", 0, 0, 141, 0, 0, 0, 0, 0, 0, 0, 0, 15, 24, 180
"d:\WORK\code\flutter\vibe\flutter_vss\lib\feature\settings\view\settings_view.dart", "Dart", 0, 0, 56, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 62
"d:\WORK\code\flutter\vibe\flutter_vss\lib\feature\settings\view\widget\baseurl_companyno_text_column.dart", "Dart", 0, 0, 49, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 53
"d:\WORK\code\flutter\vibe\flutter_vss\lib\feature\settings\view\widget\floating_save_button.dart", "Dart", 0, 0, 31, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 34
"d:\WORK\code\flutter\vibe\flutter_vss\lib\feature\settings\view\widget\settings_appbar.dart", "Dart", 0, 0, 43, 0, 0, 0, 0, 0, 0, 0, 0, 8, 7, 58
"d:\WORK\code\flutter\vibe\flutter_vss\lib\feature\settings\view_model\settings_view_model.dart", "Dart", 0, 0, 52, 0, 0, 0, 0, 0, 0, 0, 0, 6, 17, 75
"d:\WORK\code\flutter\vibe\flutter_vss\lib\feature\shipment\home\view\mixin\shipment_view_mixin.dart", "Dart", 0, 0, 24, 0, 0, 0, 0, 0, 0, 0, 0, 2, 9, 35
"d:\WORK\code\flutter\vibe\flutter_vss\lib\feature\shipment\home\view\shipment_view.dart", "Dart", 0, 0, 52, 0, 0, 0, 0, 0, 0, 0, 0, 1, 6, 59
"d:\WORK\code\flutter\vibe\flutter_vss\lib\feature\shipment\home\view\widget\shipment_appbar.dart", "Dart", 0, 0, 39, 0, 0, 0, 0, 0, 0, 0, 0, 1, 6, 46
"d:\WORK\code\flutter\vibe\flutter_vss\lib\feature\shipment\home\view\widget\shipment_listview_separated.dart", "Dart", 0, 0, 19, 0, 0, 0, 0, 0, 0, 0, 0, 1, 4, 24
"d:\WORK\code\flutter\vibe\flutter_vss\lib\feature\shipment\home\view_model\shipment_view_model.dart", "Dart", 0, 0, 12, 0, 0, 0, 0, 0, 0, 0, 0, 59, 3, 74
